,Time,,,Q_Categ,A_Categ,Check
0,November,10,2018,,,0
1,November,10,2018,,Books & Literature,0.850000024
2,November,10,2018,,,0
3,November,10,2018,,,0
4,November,10,2018,Jobs & Education,Jobs & Education,1.5
5,November,10,2018,,,0
6,November,10,2018,Jobs & Education,,0.569999993
7,November,10,2018,,,0
8,November,10,2018,,Arts & Entertainment,0.569999993
9,November,10,2018,Jobs & Education,Food & Drink,1.439999998
10,November,10,2018,,,0
11,November,10,2018,,Health,0.709999979
12,November,10,2018,,,0
13,November,10,2018,,Arts & Entertainment,0.529999971
14,November,10,2018,People & Society,Arts & Entertainment,1.150000036
15,November,10,2018,,,0
16,November,10,2018,,,0
17,November,10,2018,,,0
18,November,10,2018,,,0
19,November,9,2018,Jobs & Education,,0.660000026
20,November,9,2018,Arts & Entertainment,,0.699999988
21,November,9,2018,,Arts & Entertainment,0.689999998
22,November,9,2018,,,0
23,November,9,2018,Home & Garden,,0.529999971
24,November,9,2018,,,0
25,November,9,2018,Arts & Entertainment,,0.600000024
26,November,9,2018,,,0
27,November,9,2018,People & Society,,0.540000021
28,November,9,2018,,Arts & Entertainment,0.75
29,November,9,2018,,,0
30,November,9,2018,,,0
31,November,9,2018,,,0
32,November,9,2018,,,0
33,November,9,2018,,,0
34,November,9,2018,Jobs & Education,Food & Drink,1.399999976
35,November,9,2018,,Food & Drink,0.899999976
36,November,9,2018,,,0
37,November,9,2018,,,0
38,November,9,2018,,Food & Drink,0.839999974
39,November,9,2018,Jobs & Education,Food & Drink,1.180000007
40,November,9,2018,Law & Government,,0.50999999
41,November,9,2018,,,0
42,November,9,2018,People & Society,Jobs & Education,1.25
43,November,9,2018,,,0
44,November,9,2018,,Arts & Entertainment,0.529999971
45,November,9,2018,Jobs & Education,,0.579999983
46,November,9,2018,Computers & Electronics,Arts & Entertainment,1.25
47,November,9,2018,Arts & Entertainment,Arts & Entertainment,1.140000045
48,November,9,2018,,Arts & Entertainment,0.519999981
49,November,9,2018,,,0
50,November,9,2018,,,0
51,November,9,2018,,Arts & Entertainment,0.75999999
52,November,9,2018,Games,,0.850000024
53,November,9,2018,,Arts & Entertainment,0.610000014
54,November,9,2018,,Arts & Entertainment,0.699999988
55,November,9,2018,,Science,0.600000024
56,November,9,2018,,Finance,0.769999981
57,November,9,2018,Arts & Entertainment,,0.620000005
58,November,9,2018,Jobs & Education,,0.689999998
59,November,9,2018,Arts & Entertainment,Arts & Entertainment,1.449999988
60,November,9,2018,,Arts & Entertainment,0.660000026
61,November,9,2018,Jobs & Education,,0.920000017
62,November,9,2018,Arts & Entertainment,Arts & Entertainment,1.849999964
63,November,9,2018,,,0
64,November,9,2018,,Arts & Entertainment,0.5
65,November,9,2018,Arts & Entertainment,Arts & Entertainment,1.300000012
66,November,9,2018,,,0
67,November,9,2018,,,0
68,November,9,2018,,,0
69,November,9,2018,,Finance,0.689999998
70,November,9,2018,Jobs & Education,,0.790000021
71,November,9,2018,,,0
72,November,9,2018,Jobs & Education,Arts & Entertainment,1.189999998
73,November,9,2018,,Arts & Entertainment,0.600000024
74,November,9,2018,,,0
75,November,9,2018,,Games,0.620000005
76,November,9,2018,,,0
77,November,9,2018,,,0
78,November,9,2018,,,0
79,November,9,2018,,Business & Industrial,0.790000021
80,November,9,2018,,,0
81,November,9,2018,,,0
82,November,9,2018,,,0
83,November,9,2018,,Food & Drink,0.600000024
84,November,9,2018,Arts & Entertainment,Arts & Entertainment,1.229999959
85,November,9,2018,,Arts & Entertainment,0.550000012
86,November,9,2018,,Arts & Entertainment,0.550000012
87,November,9,2018,,,0
88,November,9,2018,,Food & Drink,0.660000026
89,November,9,2018,News,Arts & Entertainment,1.180000007
90,November,9,2018,Jobs & Education,Arts & Entertainment,1.389999986
91,November,9,2018,,Arts & Entertainment,0.649999976
92,November,9,2018,Arts & Entertainment,Arts & Entertainment,1.189999998
93,November,9,2018,,Arts & Entertainment,0.709999979
94,November,9,2018,,,0
95,November,9,2018,Jobs & Education,Arts & Entertainment,1.189999998
96,November,9,2018,,Arts & Entertainment,0.720000029
97,November,9,2018,Science,,0.620000005
98,November,9,2018,,,0
99,November,9,2018,Arts & Entertainment,,0.75999999
100,November,9,2018,,Arts & Entertainment,0.50999999
101,November,9,2018,,Arts & Entertainment,0.519999981
102,November,9,2018,,Arts & Entertainment,0.689999998
103,November,9,2018,,Arts & Entertainment,0.600000024
104,November,9,2018,,Food & Drink,0.839999974
105,November,9,2018,,Arts & Entertainment,0.730000019
106,November,9,2018,,Arts & Entertainment,0.699999988
107,November,8,2018,,Autos & Vehicles,0.779999971
108,November,8,2018,,,0
109,November,8,2018,,Arts & Entertainment,0.670000017
110,November,8,2018,,,0
111,November,8,2018,Arts & Entertainment,Food & Drink,1.189999998
112,November,8,2018,,,0
113,November,8,2018,,,0
114,November,8,2018,,Arts & Entertainment,0.74000001
115,November,8,2018,,Arts & Entertainment,0.779999971
116,November,8,2018,,,0
117,November,8,2018,,Food & Drink,0.730000019
118,November,8,2018,,Food & Drink,0.670000017
119,November,8,2018,,,0
120,November,8,2018,,,0
121,November,8,2018,,,0
122,November,8,2018,Jobs & Education,Food & Drink,1.640000045
123,November,8,2018,,Food & Drink,0.870000005
124,November,8,2018,,,0
125,November,8,2018,,,0
126,November,8,2018,Science,Food & Drink,1.170000017
127,November,8,2018,Jobs & Education,,0.709999979
128,November,8,2018,,,0
129,November,8,2018,,,0
130,November,8,2018,,Food & Drink,0.5
131,November,8,2018,,,0
132,November,8,2018,,,0
133,November,8,2018,Computers & Electronics,,0.730000019
134,November,8,2018,,Food & Drink,0.74000001
135,November,8,2018,,Food & Drink,0.870000005
136,November,8,2018,Arts & Entertainment,Arts & Entertainment,1.399999976
137,November,8,2018,,Arts & Entertainment,0.769999981
138,November,8,2018,Jobs & Education,Health,1.379999995
139,November,8,2018,,Arts & Entertainment,0.649999976
140,November,8,2018,,,0
141,November,8,2018,,Arts & Entertainment,0.629999995
142,November,8,2018,Science,,0.680000007
143,November,8,2018,Home & Garden,Arts & Entertainment,1.24000001
144,November,8,2018,Home & Garden,,0.860000014
145,November,8,2018,Jobs & Education,Arts & Entertainment,1.069999993
146,November,8,2018,,,0
147,November,8,2018,,,0
148,November,8,2018,,,0
149,November,8,2018,Science,,0.550000012
150,November,8,2018,,,0
151,November,8,2018,,,0
152,November,8,2018,,Jobs & Education,0.800000012
153,November,8,2018,News,,0.540000021
154,November,8,2018,,,0
155,November,8,2018,,,0
156,November,8,2018,,Arts & Entertainment,0.610000014
157,November,8,2018,,Shopping,0.889999986
158,November,8,2018,,,0
159,November,8,2018,,Arts & Entertainment,0.620000005
160,November,8,2018,,Arts & Entertainment,0.579999983
161,November,8,2018,,,0
162,November,8,2018,,Computers & Electronics,0.540000021
163,November,8,2018,,,0
164,November,8,2018,,,0
165,November,8,2018,People & Society,,0.779999971
166,November,8,2018,,,0
167,November,8,2018,,,0
168,November,8,2018,,,0
169,November,8,2018,,,0
170,November,8,2018,,Autos & Vehicles,0.889999986
171,November,8,2018,,,0
172,November,8,2018,,,0
173,November,8,2018,,,0
174,November,8,2018,,,0
175,November,8,2018,,,0
176,November,8,2018,,Arts & Entertainment,0.860000014
177,November,8,2018,,Arts & Entertainment,0.819999993
178,November,8,2018,Health,Arts & Entertainment,1.23999995
179,November,8,2018,,,0
180,November,8,2018,Health,People & Society,1.219999969
181,November,8,2018,,,0
182,November,8,2018,,,0
183,November,8,2018,Sports,,0.560000002
184,November,8,2018,Home & Garden,,0.579999983
185,November,8,2018,Shopping,Autos & Vehicles,1.50999999
186,November,8,2018,,Food & Drink,0.810000002
187,November,8,2018,,Health,0.569999993
188,November,8,2018,Computers & Electronics,Food & Drink,1.139999986
189,November,8,2018,,,0
190,November,8,2018,,Arts & Entertainment,0.540000021
191,November,8,2018,Arts & Entertainment,,0.959999979
192,November,8,2018,,,0
193,November,8,2018,Arts & Entertainment,,0.579999983
194,November,7,2018,,Arts & Entertainment,0.660000026
195,November,7,2018,,,0
196,November,7,2018,,,0
197,November,7,2018,Arts & Entertainment,Computers & Electronics,1.819999993
198,November,7,2018,,Computers & Electronics,0.810000002
199,November,7,2018,,,0
200,November,7,2018,Business & Industrial,,0.550000012
201,November,7,2018,,,0
202,November,7,2018,,,0
203,November,7,2018,Jobs & Education,,0.970000029
204,November,7,2018,Health,Shopping,1.790000021
205,November,7,2018,Business & Industrial,Autos & Vehicles,1.160000026
206,November,7,2018,Business & Industrial,Autos & Vehicles,1.430000007
207,November,7,2018,,,0
208,November,7,2018,Jobs & Education,Autos & Vehicles,1.470000029
209,November,7,2018,,,0
210,November,7,2018,,Business & Industrial,0.589999974
211,November,7,2018,,Arts & Entertainment,0.689999998
212,November,7,2018,,,0
213,November,7,2018,,,0
214,November,7,2018,Jobs & Education,,0.870000005
215,November,7,2018,,,0
216,November,7,2018,,,0
217,November,7,2018,Computers & Electronics,Hobbies & Leisure,1.159999967
218,November,7,2018,,,0
219,November,7,2018,Jobs & Education,Hobbies & Leisure,1.400000036
220,November,7,2018,Arts & Entertainment,Arts & Entertainment,1.49000001
221,November,7,2018,,,0
222,November,7,2018,,Books & Literature,0.75999999
223,November,7,2018,Jobs & Education,,0.600000024
224,November,7,2018,Autos & Vehicles,,0.540000021
225,November,7,2018,,,0
226,November,7,2018,,,0
227,November,7,2018,,Food & Drink,0.910000026
228,November,7,2018,,,0
229,November,7,2018,Jobs & Education,Arts & Entertainment,1.439999998
230,November,7,2018,,Autos & Vehicles,0.879999995
231,November,7,2018,Jobs & Education,,0.50999999
232,November,7,2018,,Jobs & Education,0.639999986
233,November,7,2018,Jobs & Education,Jobs & Education,1.289999962
234,November,7,2018,Arts & Entertainment,Jobs & Education,1.210000038
235,November,7,2018,,,0
236,November,7,2018,,Computers & Electronics,0.519999981
237,November,7,2018,Jobs & Education,,0.939999998
238,November,7,2018,Games,,0.639999986
239,November,7,2018,,,0
240,November,7,2018,,Computers & Electronics,0.610000014
241,November,7,2018,Jobs & Education,Computers & Electronics,1.24000001
242,November,7,2018,,,0
243,November,7,2018,People & Society,,0.529999971
244,November,7,2018,,Autos & Vehicles,0.899999976
245,November,7,2018,Autos & Vehicles,Jobs & Education,1.319999993
246,November,7,2018,Books & Literature,Arts & Entertainment,1.599999964
247,November,7,2018,Games,Arts & Entertainment,1.310000002
248,November,7,2018,Arts & Entertainment,,0.699999988
249,November,7,2018,,,0
250,November,7,2018,,Food & Drink,0.50999999
251,November,7,2018,,,0
252,November,7,2018,Jobs & Education,,0.540000021
253,November,7,2018,Law & Government,,0.769999981
254,November,7,2018,Arts & Entertainment,,0.670000017
255,November,7,2018,,Arts & Entertainment,0.610000014
256,November,7,2018,,,0
257,November,7,2018,Online Communities,Online Communities,1.440000057
258,November,7,2018,,,0
259,November,7,2018,,,0
260,November,7,2018,,Arts & Entertainment,0.560000002
261,November,7,2018,Jobs & Education,Arts & Entertainment,1.75
262,November,7,2018,Travel,,0.779999971
